date,time,test,negative,confirmed,released,deceased
2020.1.20,16,1,0,1,0,0
2020.1.21,16,1,0,1,0,0
2020.1.22,16,4,3,1,0,0
2020.1.23,16,22,21,1,0,0
2020.1.24,16,27,25,2,0,0
2020.1.25,16,27,25,2,0,0
2020.1.26,16,51,47,3,0,0
2020.1.27,16,61,56,4,0,0
2020.1.28,16,116,97,4,0,0
2020.1.29,16,187,155,4,0,0
2020.1.30,16,246,199,6,0,0
2020.1.31,16,312,245,11,0,0
2020.2.1,16,371,289,12,0,0
2020.2.2,16,429,327,15,0,0
2020.2.3,16,490,414,15,0,0
2020.2.4,16,607,462,16,0,0
2020.2.5,16,714,522,18,1,0
2020.2.6,16,885,693,23,2,0
2020.2.7,16,1352,1001,24,2,0
2020.2.8,16,2097,1134,24,2,0
2020.2.9,16,2598,1683,27,3,0
2020.2.10,16,3110,2552,27,4,0
2020.2.11,16,4325,3535,28,4,0
2020.2.12,16,5624,4811,28,7,0
2020.2.13,16,6511,5921,28,7,0
2020.2.14,16,7242,6679,28,7,0
2020.2.15,16,7734,7148,28,9,0
2020.2.16,16,8161,7647,29,9,0
2020.2.17,16,8718,7980,30,10,0
2020.2.18,16,9772,8923,31,12,0
2020.2.19,16,11173,9973,51,16,0
2020.2.20,16,13202,11238,104,16,1
2020.2.21,16,16400,13016,204,17,2
2020.2.22,16,21586,15116,433,18,2
2020.2.23,16,26179,17520,602,18,6
2020.2.24,16,32756,20292,833,24,8
2020.2.25,16,40304,25447,977,24,12
2020.2.26,16,53553,31576,1261,24,12
2020.2.27,16,66652,39318,1766,26,13
2020.2.28,16,81167,48593,2337,27,13
2020.2.29,16,94055,55723,3150,28,17
2020.3.1,16,98921,61825,3736,30,18
2020.3.2,0,109591,71580,4212,31,22
2020.3.3,0,125851,85484,4812,34,28
2020.3.4,0,136707,102965,5328,41,32
2020.3.5,0,146541,118965,5766,88,35
2020.3.6,0,164740,136624,6284,108,42
2020.3.7,0,178189,151802,6767,118,44
2020.3.8,0,188518,162008,7134,130,50
2020.3.9,0,196618,171778,7382,166,51
2020.3.10,0,210144,184179,7513,247,54
2020.3.11,0,222395,196100,7755,288,60
2020.3.12,0,234998,209402,7869,333,66
2020.3.13,0,248647,222728,7979,510,67
2020.3.14,0,261335,235615,8086,714,72
2020.3.15,0,268212,243778,8126,834,75
2020.3.16,0,274504,251297,8236,1137,75
2020.3.17,0,286716,261105,8320,1401,81
2020.3.18,0,295647,270888,8413,1540,84
2020.3.19,0,307024,282555,8565,1947,91
2020.3.20,0,316664,292487,8652,2233,94
2020.3.21,0,327509,303006,8799,2612,102
2020.3.22,0,331780,308343,8897,2909,104
2020.3.23,0,338036,315447,8961,3166,111
2020.3.24,0,348582,324105,9037,3507,120
2020.3.25,0,357896,334481,9137,3730,126
2020.3.26,0,364942,341332,9241,4144,131
2020.3.27,0,376961,352410,9332,4528,139
2020.3.28,0,387925,361883,9478,4811,144
2020.3.29,0,394141,369530,9583,5033,152
2020.3.30,0,395194,372002,9661,5228,158
2020.3.31,0,410564,383886,9786,5408,162
2020.4.1,0,421547,395075,9887,5567,165
2020.4.2,0,431743,403882,9976,5828,169
2020.4.3,0,443273,414303,10062,6021,174
2020.4.4,0,455032,424732,10156,6325,177
2020.4.5,0,461233,431425,10237,6463,183
2020.4.6,0,466804,437225,10284,6598,186
2020.4.7,0,477304,446323,10331,6694,192
2020.4.8,0,486003,457761,10384,6776,200
2020.4.9,0,494711,468779,10423,6973,204
2020.4.10,0,503051,477303,10450,7117,208
2020.4.11,0,510479,485929,10480,7243,211
2020.4.12,0,514621,490321,10512,7368,214
2020.4.13,0,518743,494815,10537,7447,217
2020.4.14,0,527438,502223,10564,7534,222
2020.4.15,0,534552,508935,10591,7616,225
2020.4.16,0,538775,513894,10613,7757,229
2020.4.17,0,546463,521642,10635,7829,230
2020.4.18,0,554834,530631,10653,7937,232
2020.4.19,0,559109,536205,10661,8042,234
2020.4.20,0,563035,540380,10674,8114,236